 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Source: Retails Sales Index,,,,,,,,,,,,,,,
Time Period,All retailing including automotive fuel,Month as a % of Total,All Retailing excluding automotive fuel,Month as a % of Total excluding automotive fuel,Predominantly food stores,Total predominantly non-food stores,Non-specialised stores [Note 1],"Textile, clothing and footwear stores [Note 1]",Household goods stores [Note 1],Other stores [Note 1],Non-store retailing,Automotive fuel,Total Annual Sales for All Retailing including automotive fuel,Total Annual Sales for All Retailing excluding automotive fuel,
Agg/SIC,Agg 21,,Agg 21X,,Agg 1,AGG12,47.19,Agg 5,Agg 7,Agg 13,Agg 14,47.3,,,
Units,£thousands,,£thousands,,£thousands,£thousands,£thousands,£thousands,£thousands,£thousands,£thousands,£thousands,,,
,,,,,,,,,,,,,,,
2018JAN,"28,420,229",6.71,"25,464,557",6.69,"11,195,224","11,500,184","2,413,128","3,097,351","2,558,023","3,431,682","2,769,149","2,955,672",,,
2018FEB,"29,254,200",6.90,"26,069,612",6.85,"11,854,367","11,321,109","2,240,966","2,943,876","2,527,003","3,609,264","2,894,136","3,184,588",,,
2018MAR,"37,751,601",8.91,"33,988,319",8.93,"15,546,592","14,762,510","2,984,939","4,011,250","3,159,250","4,607,071","3,679,217","3,763,282",,,
2018APR,"30,640,296",7.23,"27,441,471",7.21,"11,990,379","12,465,945","2,356,327","3,408,058","2,695,075","4,006,485","2,985,147","3,198,825",,,
2018MAY,"32,261,300",7.61,"28,829,572",7.57,"12,806,037","12,864,828","2,516,829","3,657,183","2,662,173","4,028,643","3,158,707","3,431,728",,,
2018JUN,"39,910,499",9.42,"35,627,879",9.36,"15,804,617","15,956,610","3,235,121","4,680,580","3,187,856","4,853,053","3,866,652","4,282,620",,,
2018JUL,"32,641,219",7.70,"29,218,735",7.67,"12,823,389","13,218,619","2,571,549","3,910,316","2,597,708","4,139,046","3,176,727","3,422,484",,,
2018AUG,"31,893,877",7.53,"28,513,161",7.49,"12,409,428","13,008,062","2,542,361","3,690,843","2,645,224","4,129,634","3,095,671","3,380,716",,,
2018SEP,"39,636,728",9.35,"35,379,559",9.29,"15,204,999","16,107,363","3,138,038","4,610,816","3,450,914","4,907,595","4,067,197","4,257,169",,,
2018OCT,"32,961,090",7.78,"29,517,501",7.75,"12,423,311","13,545,308","2,642,995","3,761,281","2,905,515","4,235,517","3,548,882","3,443,589",,,
2018NOV,"37,279,354",8.80,"33,698,241",8.85,"12,923,557","15,948,973","3,383,013","4,393,315","3,239,791","4,932,854","4,825,711","3,581,113",TOTAL SALES IN 2018 £000s,,
2018DEC,"51,058,974",12.05,"46,953,758",12.33,"18,307,483","23,179,081","5,484,289","6,870,443","3,607,367","7,216,982","5,467,194","4,105,216","423,709,367","380,702,365",
2019JAN,"29,565,997",6.73,"26,443,346",6.72,"11,668,546","11,627,165","2,402,247","3,204,141","2,539,838","3,480,939","3,147,635","3,122,651",,,
2019FEB,"30,606,706",6.96,"27,198,468",6.91,"12,200,805","11,671,585","2,241,759","3,033,642","2,504,488","3,891,696","3,326,078","3,408,238",,,
2019MAR,"39,884,463",9.07,"35,525,181",9.02,"15,705,466","15,354,923","2,910,340","4,223,821","3,112,958","5,107,804","4,464,792","4,359,282",,,
2019APR,"32,913,588",7.49,"29,359,408",7.46,"12,923,872","12,893,311","2,412,648","3,707,722","2,588,820","4,184,121","3,542,225","3,554,180",,,
2019MAY,"33,077,719",7.52,"29,400,293",7.47,"12,951,323","12,891,284","2,447,462","3,644,172","2,562,614","4,237,036","3,557,686","3,677,426",,,
2019JUN,"41,640,977",9.47,"37,072,588",9.42,"16,089,590","16,558,693","3,144,132","4,840,179","3,197,999","5,376,383","4,424,305","4,568,389",,,
2019JUL,"34,103,557",7.76,"30,432,894",7.73,"13,064,620","13,478,323","2,555,569","3,989,015","2,513,415","4,420,324","3,889,951","3,670,663",,,
2019AUG,"32,962,732",7.50,"29,346,391",7.45,"12,744,136","13,040,967","2,481,190","3,803,341","2,512,447","4,243,989","3,561,288","3,616,341",,,
2019SEP,"40,903,662",9.30,"36,504,272",9.27,"15,740,467","16,151,004","3,044,342","4,724,184","3,337,368","5,045,110","4,612,801","4,399,390",,,
2019OCT,"34,031,172",7.74,"30,430,349",7.73,"12,813,451","13,630,189","2,648,001","3,853,684","2,764,990","4,363,514","3,986,709","3,600,823",,,
2019NOV,"37,144,920",8.45,"33,556,538",8.52,"13,186,623","15,407,493","3,291,746","4,347,119","2,954,434","4,814,194","4,962,422","3,588,382",TOTAL SALES IN 2019 £000s,,
2019DEC,"52,764,987",12.00,"48,469,092",12.31,"18,641,485","23,351,817","5,341,769","6,716,509","3,687,352","7,606,187","6,475,790","4,295,895","439,600,480","393,738,820",
2020JAN,"38,262,410",8.76,"34,289,930",8.51,"15,082,018","14,743,483","2,946,255","4,094,822","3,138,943","4,563,463","4,464,429","3,972,480",,,
2020FEB,"31,158,176",7.13,"27,779,995",6.89,"12,593,753","11,648,767","2,187,408","3,059,719","2,472,709","3,928,931","3,537,475","3,378,181",,,
2020MAR,"37,889,812",8.68,"34,525,604",8.57,"17,568,169","12,211,122","2,925,164","2,687,831","2,791,523","3,806,604","4,746,313","3,364,208",,,
2020APR,"25,109,245",5.75,"23,881,506",5.93,"13,612,051","5,903,033","1,807,686","1,133,347","1,249,843","1,712,157","4,366,422","1,227,739",,,
2020MAY,"28,585,348",6.55,"26,844,510",6.66,"14,010,877","7,597,568","2,114,004","1,404,440","1,823,741","2,255,383","5,236,065","1,740,838",,,
2020JUN,"40,335,885",9.24,"37,684,579",9.35,"17,267,861","13,658,677","2,914,213","3,122,585","3,168,762","4,453,117","6,758,041","2,651,306",,,
2020JUL,"34,031,956",7.79,"31,304,001",7.77,"13,361,677","12,767,600","2,393,846","3,038,866","2,821,299","4,513,589","5,174,724","2,727,955",,,
2020AUG,"33,438,676",7.66,"30,591,644",7.59,"13,236,578","12,612,386","2,362,246","3,212,135","2,850,558","4,187,447","4,742,680","2,847,032",,,
2020SEP,"42,097,429",9.64,"38,567,190",9.57,"16,405,481","16,126,722","3,029,787","4,064,528","3,691,624","5,340,783","6,034,987","3,530,239",,,
2020OCT,"35,935,594",8.23,"33,047,195",8.20,"13,314,369","14,038,647","2,680,979","3,347,988","3,271,524","4,738,156","5,694,179","2,888,399",,,
2020NOV,"38,469,194",8.81,"36,016,128",8.94,"14,160,226","14,460,918","3,389,596","2,950,876","3,450,671","4,669,775","7,394,984","2,453,066",TOTAL SALES IN 2020 £000s,,
2020DEC,"51,427,797",11.78,"48,386,187",12.01,"18,756,643","21,681,991","4,788,201","5,515,778","3,869,925","7,508,087","7,947,553","3,041,610","436,741,522","402,918,469",
2021JAN,"28,934,470",6.23,"26,812,448",6.36,"12,772,968","8,691,793","1,959,189","1,699,958","2,249,914","2,782,732","5,347,687","2,122,022",,,
2021FEB,"29,969,597",6.46,"27,574,670",6.54,"13,438,377","8,989,615","2,118,594","1,500,553","2,535,435","2,835,033","5,146,678","2,394,927",,,
2021MAR,"41,114,945",8.86,"37,642,129",8.93,"17,951,523","13,024,462","2,979,427","2,381,086","3,399,284","4,264,665","6,666,144","3,472,816",,,
2021APR,"35,398,440",7.63,"32,226,233",7.65,"13,577,457","13,376,516","2,444,789","3,369,253","3,180,294","4,382,180","5,272,260","3,172,207",,,
2021MAY,"35,903,050",7.73,"32,562,669",7.73,"13,482,043","14,043,429","2,444,757","3,451,623","3,278,209","4,868,840","5,037,197","3,340,381",,,
2021JUN,"45,273,586",9.75,"40,935,573",9.72,"17,391,618","17,400,007","3,051,499","4,435,360","3,804,944","6,108,204","6,143,948","4,338,013",,,
2021JUL,"35,801,933",7.71,"32,180,717",7.64,"13,666,488","13,723,948","2,431,581","3,540,394","2,993,278","4,758,695","4,790,281","3,621,216",,,
2021AUG,"34,916,858",7.52,"31,222,869",7.41,"13,300,725","13,456,307","2,352,735","3,537,996","2,926,266","4,639,310","4,465,837","3,693,989",,,
2021SEP,"43,423,461",9.36,"38,740,094",9.19,"16,331,973","16,605,294","3,056,101","4,485,818","3,490,273","5,573,102","5,802,827","4,683,367",,,
2021OCT,"36,919,212",7.95,"33,348,533",7.92,"13,496,393","14,759,102","2,673,872","3,871,683","3,069,960","5,143,587","5,093,038","3,570,679",,,
2021NOV,"41,771,946",9.00,"37,841,780",8.98,"14,088,080","17,005,614","3,322,096","4,524,406","3,359,462","5,799,650","6,748,086","3,930,166",TOTAL SALES IN 2021 £000s,,
2021DEC,"54,736,063",11.79,"50,233,310",11.92,"19,633,542","22,572,129","4,715,576","6,277,313","3,711,071","7,868,169","8,027,639","4,502,753","464,163,561","421,321,025",
2022JAN,"33,598,326",6.80,"30,147,842",6.86,"12,604,454","12,296,977","2,248,726","2,966,357","2,819,671","4,262,223","5,246,411","3,450,484",,,
2022FEB,"34,351,304",6.95,"30,521,050",6.94,"13,176,738","12,446,836","2,235,799","3,109,129","2,779,812","4,322,096","4,897,476","3,830,254",,,
2022MAR,"44,968,641",9.10,"39,789,353",9.05,"16,940,133","16,956,891","3,033,289","4,279,832","3,636,698","6,007,072","5,892,329","5,179,288",,,
2022APR,"37,168,614",7.52,"32,904,559",7.49,"14,007,471","13,952,896","2,480,534","3,755,422","2,983,699","4,733,241","4,944,192","4,264,055",,,
2022MAY,"37,427,900",7.57,"33,016,444",7.51,"13,879,436","14,287,805","2,465,160","4,005,095","2,938,611","4,878,939","4,849,203","4,411,456",,,
2022JUN,"47,159,749",9.54,"41,344,782",9.41,"17,899,542","17,730,430","3,136,718","5,014,636","3,444,325","6,134,751","5,714,810","5,814,967",,,
2022JUL,"38,607,767",7.81,"33,871,309",7.71,"14,653,334","14,460,796","2,605,865","4,119,332","2,765,745","4,969,854","4,757,179","4,736,458",,,
2022AUG,"36,678,545",7.42,"32,263,345",7.34,"14,283,299","13,642,152","2,420,303","3,798,695","2,780,168","4,642,986","4,337,894","4,415,200",,,
2022SEP,"45,129,442",9.13,"39,950,788",9.09,"17,401,422","17,056,178","3,096,960","4,848,875","3,496,818","5,613,525","5,493,188","5,178,654",,,
2022OCT,"38,872,018",7.86,"34,509,292",7.85,"14,428,378","15,099,870","2,698,271","4,192,648","2,960,855","5,248,096","4,981,044","4,362,726",,,
2022NOV,"43,070,208",8.71,"38,796,458",8.83,"15,194,305","17,389,598","3,458,665","4,925,049","3,399,863","5,606,021","6,212,555","4,273,750",TOTAL SALES IN 2022 £000s,,
2022DEC,"57,265,356",11.59,"52,459,386",11.93,"21,216,519","24,151,741","5,247,001","7,436,344","3,654,009","7,814,387","7,091,126","4,805,970","494,297,870","439,574,608",
2023JAN,"34,756,521",6.82,"31,063,932",6.73,"13,696,154","12,681,829","2,378,999","3,575,728","2,778,213","3,948,889","4,685,949","3,692,589",,,
2023FEB,"36,099,072",7.09,"32,324,220",7.01,"14,644,321","13,026,616","2,397,212","3,542,306","2,705,094","4,382,004","4,653,283","3,774,852",,,
2023MAR,"46,474,145",9.12,"41,816,607",9.06,"18,814,641","16,959,549","3,154,372","4,741,320","3,502,108","5,561,749","6,042,417","4,657,538",,,
2023APR,"38,587,636",7.58,"34,833,301",7.55,"15,430,328","14,570,454","2,666,319","4,159,671","2,977,731","4,766,733","4,832,519","3,754,335",,,
2023MAY,"39,149,877",7.69,"35,483,104",7.69,"15,682,032","14,891,938","2,720,664","4,329,855","2,937,068","4,904,351","4,909,134","3,666,773",,,
2023JUN,"48,655,665",9.55,"44,153,076",9.57,"19,675,472","18,564,919","3,501,963","5,514,081","3,553,299","5,995,576","5,912,685","4,502,589",,,
2023JUL,"38,986,029",7.65,"35,359,943",7.66,"15,434,226","14,879,391","2,737,956","4,361,038","2,846,504","4,933,893","5,046,326","3,626,086",,,
2023AUG,"38,029,791",7.47,"34,317,196",7.44,"15,313,472","14,335,639","2,615,080","4,186,885","2,861,311","4,672,363","4,668,085","3,712,595",,,
2023SEP,"46,847,755",9.20,"42,089,394",9.12,"18,967,909","17,359,557","3,270,363","5,078,040","3,461,634","5,549,520","5,761,928","4,758,361",,,
2023OCT,"39,738,039",7.80,"35,898,180",7.78,"15,565,402","15,064,797","2,850,299","4,341,966","2,882,785","4,989,747","5,267,981","3,839,859",,,
2023NOV,"44,791,537",8.79,"40,995,941",8.88,"16,239,058","17,923,882","3,659,637","5,090,356","3,310,601","5,863,288","6,833,001","3,795,596",TOTAL SALES IN 2023 £000s,,
2023DEC,"57,274,595",11.24,"53,102,284",11.51,"21,818,214","23,792,659","5,152,114","7,334,030","3,455,939","7,850,576","7,491,411","4,172,311","509,390,662","461,437,178",
