5 - VALUE OF RETAIL SALES BY COMMODITY AT CURRENT PRICES NON-SEASONALLY ADJUSTED,,,,,,,
This worksheet contains five tables presented vertically with a blank row between each table,,,,,,,
Source: Retails Sales Index,,,,,,,
Index 2022=100,,,,,,,
"The monthly period consists of 4 weeks except for March, June, September and December which are 5 weeks. January 2020 is also a 5 week period.",,,,,,,
Some cells in this table are empty because data was not collected for these variables at these time points.,,,,,,,
Estimates in this table have been produced by combining a breakdown of commodity sales from 53 large retailers with total sales from other retailers.,,,,,,,
"The quarterly indices are the weighted averages of the monthly indices for the months within the quarter, the weights being the number of weeks in each monthly period.",,,,,,,
"In July 2018, we increased our sample for the commodity breakdown from 31 to 54 retailers to improve coverage and better represent the commodities sold. Growth rates may not be comparable as a result. This does not impact the main retail sales data.",,,,,,,
Index numbers of sales per week - Annually,,,,,,,
Time Period,Total excluding fuel,"Food, drink and tobacco [Note 3]",Clothing and footwear,Household goods [Note 3],Other non-food [Note 3],,
Average weekly sales in 2022 (£ millions),"8,453","3,391","1,489","1,477","2,096",,
AGG/SIC,J43S,EAWN,EAWO,EAWP,EAWQ,,
,,,,,,,
2018,86.6,84.2,88.9,90.5,86.1,,
2019,89.6,88.0,93.7,86.7,91.1,,
2020,89.9,94.7,74.7,98.5,87.0,,
2021,95.8,96.9,85.9,103.8,95.6,,
2022,100.0,100.0,100.0,100.0,100.0,,
2023,105.0,110.3,102.0,100.6,101.6,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Index numbers of sales per week - Quarterly,,,,,,,
Time Period,Total excluding fuel,"Food, drink and tobacco [Note 3]",Clothing and footwear,Household goods [Note 3],Other non-food [Note 3],,
AGG/SIC,J43S,EAWN,EAWO,EAWP,EAWQ,,
,,,,,,,
2018 Q1,77.8,78.9,72.4,91.0,70.7,,
2018 Q2,83.6,83.0,87.7,87.7,78.8,,
2018 Q3,84.7,84.1,89.3,82.1,84.3,,
2018 Q4,100.3,90.9,106.2,101.3,110.4,,
2019 Q1,81.1,82.9,77.3,80.1,81.7,,
2019 Q2,87.2,88.3,92.5,79.2,87.4,,
2019 Q3,87.6,87.3,93.9,82.5,87.2,,
2019 Q4,102.3,93.6,111.2,105.0,108.3,,
2020 Q1,81.6,89.1,69.9,84.4,75.9,,
2020 Q2,80.5,97.3,53.9,83.7,69.8,,
2020 Q3,91.4,92.9,79.7,101.1,90.6,,
2020 Q4,106.9,99.9,95.6,126.1,112.7,,
2021 Q1,83.7,95.3,56.2,95.7,76.1,,
2021 Q2,96.2,96.6,89.3,103.6,95.3,,
2021 Q3,92.9,93.1,88.8,97.3,92.5,,
2021 Q4,110.5,102.6,109.4,118.5,118.4,,
2022 Q1,91.4,90.6,83.9,98.9,92.9,,
2022 Q2,97.6,98.8,101.2,93.8,95.7,,
2022 Q3,96.5,100.2,96.3,93.0,93.2,,
2022 Q4,114.4,110.4,118.6,114.3,118.2,,
2023 Q1,95.7,103.3,87.8,94.0,90.3,,
2023 Q2,104.2,111.3,105.5,95.1,98.0,,
2023 Q3,101.7,108.8,97.9,96.9,96.3,,
2023 Q4,118.3,117.8,116.8,116.2,121.6,,
2024 Q1,99.1,109.6,82.1,94.3,97.4,,
2024 Q2,103.9,111.3,98.7,93.2,102.9,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Index numbers of sales per week - Monthly,,,,,,,
Time Period,Total excluding fuel,"Food, drink and tobacco [Note 3]",Clothing and footwear,Household goods [Note 3],Other non-food [Note 3],,
AGG/SIC,J43S,EAWN,EAWO,EAWP,EAWQ,,
,,,,,,,
2018 Jan,75.3,73.8,69.6,95.3,67.7,,
2018 Feb,77.1,78.9,69.5,89.8,70.7,,
2018 Mar,80.4,82.9,77.0,88.6,73.1,,
2018 Apr,81.2,79.7,82.1,89.8,76.7,,
2018 May,85.3,85.3,89.8,86.1,81.4,,
2018 Jun,84.3,83.8,90.5,87.3,78.5,,
2018 Jul,86.4,86.8,91.3,79.7,87.0,,
2018 Aug,84.3,83.9,89.7,80.8,83.6,,
2018 Sep,83.7,82.2,87.3,84.9,82.7,,
2018 Oct,87.3,84.0,88.9,88.3,90.8,,
2018 Nov,99.7,87.6,104.3,108.5,109.6,,
2018 Dec,111.1,99.1,121.5,105.9,126.7,,
2019 Jan,78.2,78.4,74.8,83.2,76.7,,
2019 Feb,80.4,83.5,73.7,78.4,81.7,,
2019 Mar,84.1,86.1,82.1,78.9,85.8,,
2019 Apr,86.8,88.2,90.3,80.5,86.6,,
2019 May,86.9,88.8,90.0,78.9,87.5,,
2019 Jun,87.7,87.9,96.2,78.5,87.8,,
2019 Jul,90.0,89.3,96.8,81.9,92.0,,
2019 Aug,86.8,87.0,93.5,80.6,86.0,,
2019 Sep,86.4,86.0,91.8,84.5,84.4,,
2019 Oct,90.0,87.2,96.1,89.1,90.8,,
2019 Nov,99.2,90.2,106.6,106.5,103.5,,
2019 Dec,114.7,101.4,127.1,116.6,126.0,,
2020 Jan,81.1,82.5,81.6,85.7,75.4,,
2020 Feb,82.2,87.0,74.7,82.6,79.3,,
2020 Mar,81.7,97.4,54.3,84.5,73.7,,
2020 Apr,70.6,95.3,39.5,68.7,54.2,,
2020 May,79.4,98.6,47.8,83.0,68.2,,
2020 Jun,89.2,97.9,70.3,96.2,83.5,,
2020 Jul,92.6,94.4,79.4,100.2,93.5,,
2020 Aug,90.5,93.0,78.7,99.8,88.2,,
2020 Sep,91.2,91.5,80.8,102.7,90.1,,
2020 Oct,97.7,93.1,86.0,116.4,100.4,,
2020 Nov,106.5,99.8,84.9,137.3,110.9,,
2020 Dec,114.5,105.3,111.9,124.8,123.9,,
2021 Jan,79.3,89.5,55.5,93.0,70.0,,
2021 Feb,81.6,94.6,51.8,94.7,72.2,,
2021 Mar,89.1,100.5,60.4,98.6,84.1,,
2021 Apr,95.3,96.0,89.8,105.9,90.6,,
2021 May,96.3,95.8,89.0,105.4,95.9,,
2021 Jun,96.9,97.6,89.1,100.4,98.7,,
2021 Jul,95.2,96.0,88.5,100.0,95.1,,
2021 Aug,92.3,92.2,89.2,96.8,91.6,,
2021 Sep,91.7,91.5,88.8,95.5,91.2,,
2021 Oct,98.6,95.1,95.5,105.5,101.8,,
2021 Nov,111.9,99.8,111.4,129.7,119.4,,
2021 Dec,118.8,111.0,118.9,119.8,130.8,,
2022 Jan,89.2,86.6,81.2,102.9,89.2,,
2022 Feb,90.3,91.1,84.2,95.7,89.3,,
2022 Mar,94.1,93.3,85.8,98.2,98.6,,
2022 Apr,97.3,96.8,99.9,99.4,94.8,,
2022 May,97.6,98.4,102.0,93.0,96.6,,
2022 Jun,97.8,100.8,101.6,90.1,95.8,,
2022 Jul,100.2,103.2,101.0,95.2,98.2,,
2022 Aug,95.4,100.6,94.2,90.3,91.5,,
2022 Sep,94.5,97.6,94.2,93.5,90.6,,
2022 Oct,102.1,101.5,101.1,101.3,104.2,,
2022 Nov,114.7,107.4,116.5,126.3,117.1,,
2022 Dec,124.1,119.8,134.3,115.0,130.2,,
2023 Jan,91.9,96.9,86.0,96.2,84.9,,
2023 Feb,95.6,104.7,85.0,91.9,91.0,,
2023 Mar,98.9,107.3,91.5,94.0,94.2,,
2023 Apr,103.0,110.2,101.3,97.2,96.7,,
2023 May,104.9,112.0,106.6,95.3,99.1,,
2023 Jun,104.5,111.7,107.8,93.4,98.1,,
2023 Jul,104.6,110.1,102.1,98.3,101.8,,
2023 Aug,101.5,109.0,97.9,96.8,95.2,,
2023 Sep,99.6,107.6,94.5,96.0,92.8,,
2023 Oct,106.2,110.6,101.6,104.3,103.5,,
2023 Nov,121.2,116.1,119.0,130.1,124.9,,
2023 Dec,125.6,125.0,127.2,114.5,133.5,,
2024 Jan,95.4,103.8,81.4,95.9,91.3,,
2024 Feb,98.3,110.3,79.5,92.3,96.4,,
2024 Mar,102.7,113.8,84.8,94.5,103.0,,
2024 Apr,100.4,107.8,92.3,93.4,99.1,,
2024 May,107.3,114.2,103.8,95.6,106.6,,
2024 Jun,103.9,111.8,99.8,91.0,103.1,,
2024 Jul,107.2,113.6,99.5,98.1,108.7,,
2024 Aug,103.9,112.0,98.4,94.0,101.4,,
2024 Sep,103.2,108.9,94.5,96.7,104.6,,
