"Daily usage of transport by mode: Great Britain, since 1 March 2020 [notes a,b]",,,,,,,,,,,,,
"This worksheet contains 1 table. Notes are used throughout this table, please see the notes tab to find the related notes text.",,,,,,,,,,,,,
All figures are given as a percentage of the baseline equivalent day or week.,,,,,,,,,,,,,
"Annotations in this table: [x] for data not available, [z] for not applicable, [r] for revised data, [p] for provisional data.",,,,,,,,,,,,,
"Date
[note 1]",Weekday,"Cars
[note 2]","Light Commercial Vehicles
[note 2]","Heavy Goods Vehicles
[note 2]","All motor vehicles
[note 2]","National Rail
[notes 3,13, 15, 16, 17, 21, 23]","National Rail excluding Elizabeth Line [note 13, 21]","Transport for London Tube
[note 4, 20]","Transport for London Bus
[notes 4,7, 20]","Bus (excluding London)
[notes 5,11]","Cycling
[notes 6,12,18]",Revised,Notes by day
01-Mar-2020,Sun,103%,111%,108%,104%,95%,95%,103%,102%,[x],[x],[z],[note 11]
02-Mar-2020,Mon,102%,106%,103%,103%,95%,95%,93%,97%,[x],[x],[z],[note 11]
03-Mar-2020,Tue,101%,105%,102%,102%,95%,95%,94%,96%,[x],[x],[z],[note 11]
04-Mar-2020,Wed,101%,104%,103%,101%,96%,96%,93%,97%,[x],[x],[z],[note 11]
05-Mar-2020,Thu,100%,103%,102%,100%,96%,96%,90%,92%,[x],[x],[z],[note 11]
06-Mar-2020,Fri,102%,103%,102%,102%,99%,99%,90%,96%,[x],[x],[z],[note 11]
07-Mar-2020,Sat,101%,109%,108%,102%,100%,100%,91%,93%,[x],[x],[z],[note 11]
08-Mar-2020,Sun,105%,113%,112%,106%,99%,99%,85%,95%,[x],89%,[z],[note 11]
09-Mar-2020,Mon,101%,107%,104%,103%,98%,98%,88%,95%,101%,105%,[z],[z]
10-Mar-2020,Tue,99%,105%,103%,101%,97%,97%,86%,97%,102%,82%,[z],[z]
11-Mar-2020,Wed,99%,104%,103%,100%,94%,94%,84%,93%,98%,118%,[z],[z]
12-Mar-2020,Thu,98%,102%,102%,99%,92%,92%,78%,92%,98%,120%,[z],[z]
13-Mar-2020,Fri,98%,100%,102%,98%,90%,90%,71%,88%,94%,99%,[z],[z]
14-Mar-2020,Sat,93%,102%,108%,95%,88%,88%,60%,84%,85%,127%,[z],[z]
15-Mar-2020,Sun,94%,105%,112%,96%,85%,85%,52%,75%,85%,93%,[z],[z]
16-Mar-2020,Mon,96%,103%,104%,98%,81%,81%,58%,79%,88%,104%,[z],[z]
17-Mar-2020,Tue,86%,95%,103%,89%,75%,75%,42%,70%,77%,77%,[z],[z]
18-Mar-2020,Wed,80%,90%,100%,83%,68%,68%,34%,66%,62%,93%,[z],[z]
19-Mar-2020,Thu,79%,88%,100%,82%,62%,61%,28%,59%,58%,91%,[z],[z]
20-Mar-2020,Fri,78%,85%,98%,81%,55%,55%,23%,52%,53%,82%,[z],[z]
21-Mar-2020,Sat,70%,79%,102%,73%,49%,49%,12%,40%,40%,118%,[z],[z]
22-Mar-2020,Sun,66%,73%,101%,69%,47%,46%,11%,32%,35%,126%,[z],[z]
23-Mar-2020,Mon,64%,77%,97%,69%,40%,40%,14%,31%,27%,86%,[z],[z]
24-Mar-2020,Tue,44%,56%,84%,49%,36%,36%,9%,22%,17%,85%,[z],[z]
25-Mar-2020,Wed,37%,47%,77%,42%,30%,30%,7%,19%,14%,128%,[z],[z]
26-Mar-2020,Thu,35%,43%,72%,39%,26%,26%,6%,18%,13%,132%,[z],[z]
27-Mar-2020,Fri,35%,42%,69%,38%,20%,20%,5%,18%,14%,106%,[z],[z]
28-Mar-2020,Sat,27%,34%,71%,30%,19%,19%,4%,17%,12%,125%,[z],[z]
29-Mar-2020,Sun,23%,29%,72%,25%,18%,18%,4%,16%,13%,83%,[z],[z]
30-Mar-2020,Mon,33%,41%,64%,36%,17%,17%,5%,17%,12%,72%,[z],[z]
31-Mar-2020,Tue,32%,40%,62%,36%,16%,16%,5%,17%,12%,96%,[z],[z]
01-Apr-2020,Wed,32%,39%,61%,35%,15%,15%,5%,16%,11%,111%,[z],[z]
02-Apr-2020,Thu,32%,38%,60%,35%,15%,15%,5%,16%,11%,110%,[z],[z]
03-Apr-2020,Fri,34%,40%,60%,36%,18%,18%,5%,16%,12%,112%,[z],[z]
04-Apr-2020,Sat,28%,35%,66%,31%,18%,18%,4%,17%,11%,200%,[z],[z]
05-Apr-2020,Sun,25%,31%,70%,27%,18%,18%,4%,17%,12%,225%,[z],[z]
06-Apr-2020,Mon,34%,42%,61%,37%,17%,17%,5%,18%,11%,105%,[z],[z]
07-Apr-2020,Tue,33%,41%,60%,36%,16%,15%,5%,18%,11%,137%,[z],[z]
08-Apr-2020,Wed,34%,42%,62%,37%,14%,14%,4%,17%,10%,155%,[z],[z]
09-Apr-2020,Thu,36%,43%,61%,39%,13%,13%,4%,18%,12%,168%,[z],[z]
10-Apr-2020,Fri (BH),27%,27%,33%,27%,11%,11%,4%,17%,12%,179%,[z],[note 8]
11-Apr-2020,Sat,29%,35%,55%,31%,11%,11%,3%,16%,10%,288%,[z],[note 9]
12-Apr-2020,Sun,22%,27%,50%,24%,11%,11%,3%,14%,10%,248%,[z],[note 9]
13-Apr-2020,Mon (BH),23%,22%,25%,23%,10%,10%,5%,18%,12%,121%,[z],[note 8]
14-Apr-2020,Tue,35%,44%,60%,38%,10%,10%,4%,19%,12%,134%,[z],[z]
15-Apr-2020,Wed,34%,44%,63%,38%,10%,10%,4%,18%,10%,195%,[z],[z]
16-Apr-2020,Thu,34%,42%,63%,38%,10%,10%,4%,17%,11%,203%,[z],[z]
17-Apr-2020,Fri,35%,43%,63%,39%,11%,11%,5%,18%,11%,101%,[z],[z]
18-Apr-2020,Sat,31%,38%,71%,33%,11%,11%,4%,16%,11%,143%,[z],[z]
19-Apr-2020,Sun,29%,36%,73%,32%,11%,11%,[x],[x],13%,321%,[z],[z]
20-Apr-2020,Mon,38%,48%,65%,41%,12%,12%,[x],[x],12%,139%,[z],[z]
21-Apr-2020,Tue,37%,47%,64%,41%,12%,12%,[x],[x],11%,150%,[z],[z]
22-Apr-2020,Wed,37%,47%,65%,41%,11%,11%,[x],[x],11%,201%,[z],[z]
23-Apr-2020,Thu,37%,46%,64%,41%,9%,9%,[x],[x],11%,220%,[z],[z]
24-Apr-2020,Fri,39%,46%,65%,42%,9%,9%,[x],[x],12%,188%,[z],[z]
25-Apr-2020,Sat,35%,43%,71%,38%,9%,9%,[x],[x],12%,292%,[z],[z]
26-Apr-2020,Sun,32%,40%,75%,35%,9%,9%,[x],[x],13%,341%,[z],[z]
27-Apr-2020,Mon,40%,51%,68%,44%,9%,9%,[x],[x],12%,158%,[z],[z]
28-Apr-2020,Tue,38%,48%,67%,42%,8%,8%,[x],[x],11%,49%,[z],[z]
29-Apr-2020,Wed,38%,49%,68%,42%,5%,5%,[x],[x],11%,112%,[z],[z]
30-Apr-2020,Thu,39%,48%,67%,42%,6%,6%,[x],[x],11%,97%,[z],[z]
01-May-2020,Fri,40%,50%,66%,44%,5%,5%,[x],[x],12%,123%,[z],[z]
02-May-2020,Sat,38%,47%,72%,40%,5%,5%,[x],[x],12%,308%,[z],[z]
03-May-2020,Sun,34%,42%,76%,36%,5%,5%,[x],[x],13%,257%,[z],[z]
04-May-2020,Mon,42%,55%,70%,46%,5%,5%,[x],[x],12%,155%,[z],[z]
05-May-2020,Tue,42%,54%,71%,46%,5%,5%,[x],[x],12%,132%,[z],[z]
06-May-2020,Wed,43%,55%,73%,47%,9%,9%,[x],[x],12%,227%,[z],[z]
07-May-2020,Thu,45%,56%,71%,49%,10%,10%,[x],[x],13%,225%,[z],[z]
08-May-2020,Fri (BH),33%,33%,35%,34%,[x],[x],[x],[x],[x],237%,[z],"[notes 8, 15]"
09-May-2020,Sat,39%,46%,65%,41%,11%,11%,[x],[x],13%,384%,[z],[z]
10-May-2020,Sun,35%,44%,77%,37%,11%,11%,[x],[x],13%,150%,[z],[z]
11-May-2020,Mon,45%,58%,74%,49%,[x],[x],[x],[x],12%,100%,[z],[note 15]
12-May-2020,Tue,45%,59%,75%,50%,11%,11%,[x],[x],13%,144%,[z],[z]
13-May-2020,Wed,48%,61%,76%,53%,10%,10%,[x],[x],12%,152%,[z],[z]
14-May-2020,Thu,50%,60%,75%,54%,9%,9%,[x],[x],13%,210%,[z],[z]
15-May-2020,Fri,51%,61%,74%,55%,9%,9%,[x],[x],13%,174%,[z],[z]
16-May-2020,Sat,52%,64%,80%,56%,10%,10%,[x],[x],13%,282%,[z],[z]
17-May-2020,Sun,50%,63%,84%,54%,10%,10%,[x],[x],15%,306%,[z],[z]
18-May-2020,Mon,53%,67%,79%,58%,10%,10%,[x],[x],14%,164%,[z],[z]
19-May-2020,Tue,54%,67%,79%,58%,11%,11%,[x],[x],14%,168%,[z],[z]
20-May-2020,Wed,56%,67%,80%,60%,10%,10%,[x],[x],13%,231%,[z],[z]
21-May-2020,Thu,54%,66%,80%,59%,11%,11%,[x],[x],13%,224%,[z],[z]
22-May-2020,Fri,56%,67%,79%,59%,11%,11%,[x],[x],14%,121%,[z],[z]
23-May-2020,Sat,55%,68%,84%,58%,11%,11%,[x],[x],14%,161%,[z],[z]
24-May-2020,Sun,55%,67%,80%,58%,11%,11%,[x],[x],16%,264%,[z],[z]
25-May-2020,Mon (BH),50%,46%,34%,50%,11%,10%,[x],[x],19%,283%,[z],[note 8]
26-May-2020,Tue,59%,73%,81%,63%,10%,10%,[x],[x],15%,166%,[z],[z]
27-May-2020,Wed,59%,72%,84%,63%,11%,10%,[x],[x],14%,225%,[z],[z]
28-May-2020,Thu,59%,71%,83%,64%,10%,10%,[x],[x],14%,235%,[z],[z]
29-May-2020,Fri,62%,72%,83%,66%,9%,9%,[x],[x],15%,197%,[z],[z]
30-May-2020,Sat,66%,77%,92%,69%,9%,9%,[x],[x],16%,323%,[z],[z]
31-May-2020,Sun,67%,79%,94%,71%,10%,9%,[x],[x],19%,321%,[z],[z]
01-Jun-2020,Mon,65%,78%,87%,69%,10%,10%,[x],[x],17%,183%,[z],[z]
02-Jun-2020,Tue,65%,78%,84%,69%,11%,11%,[x],[x],18%,183%,[z],[z]
03-Jun-2020,Wed,59%,74%,85%,63%,12%,12%,[x],[x],15%,119%,[z],[z]
04-Jun-2020,Thu,60%,73%,85%,64%,13%,13%,[x],[x],17%,169%,[z],[z]
05-Jun-2020,Fri,62%,74%,85%,66%,14%,14%,[x],[x],17%,114%,[z],[z]
06-Jun-2020,Sat,63%,76%,90%,66%,14%,14%,[x],[x],16%,125%,[z],[z]
07-Jun-2020,Sun,63%,76%,93%,66%,14%,14%,[x],[x],19%,222%,[z],[z]
08-Jun-2020,Mon,63%,78%,87%,68%,14%,14%,[x],[x],18%,164%,[z],[z]
09-Jun-2020,Tue,64%,79%,88%,69%,14%,14%,[x],[x],19%,169%,[z],[z]
10-Jun-2020,Wed,61%,77%,88%,66%,13%,13%,[x],[x],17%,125%,[z],[z]
11-Jun-2020,Thu,61%,75%,88%,66%,13%,13%,[x],[x],17%,124%,[z],[z]
12-Jun-2020,Fri,64%,76%,87%,67%,13%,13%,[x],[x],18%,113%,[z],[z]
13-Jun-2020,Sat,73%,85%,93%,76%,13%,13%,[x],[x],19%,286%,[z],[z]
14-Jun-2020,Sun,74%,86%,97%,77%,14%,13%,[x],[x],21%,304%,[z],[z]
15-Jun-2020,Mon,70%,84%,92%,74%,14%,14%,[x],[x],21%,168%,[z],[z]
16-Jun-2020,Tue,68%,82%,91%,72%,14%,14%,[x],[x],21%,145%,[z],[z]
17-Jun-2020,Wed,67%,81%,92%,72%,15%,14%,[x],[x],20%,167%,[z],[z]
18-Jun-2020,Thu,65%,79%,89%,69%,15%,15%,[x],[x],19%,95%,[z],[z]
19-Jun-2020,Fri,70%,82%,90%,74%,15%,15%,[x],[x],21%,118%,[z],[z]
20-Jun-2020,Sat,83%,93%,97%,86%,16%,15%,[x],[x],24%,286%,[z],[z]
21-Jun-2020,Sun,81%,90%,95%,83%,16%,15%,[x],[x],24%,186%,[z],[z]
22-Jun-2020,Mon,72%,87%,93%,77%,16%,16%,[x],[x],23%,179%,[z],[z]
23-Jun-2020,Tue,74%,87%,94%,78%,16%,16%,[x],[x],23%,180%,[z],[z]
24-Jun-2020,Wed,76%,88%,94%,80%,17%,17%,[x],[x],22%,201%,[z],[z]
25-Jun-2020,Thu,76%,86%,92%,80%,18%,18%,[x],[x],23%,243%,[z],[z]
26-Jun-2020,Fri,74%,84%,91%,78%,18%,18%,[x],[x],22%,147%,[z],[z]
27-Jun-2020,Sat,75%,88%,97%,78%,18%,18%,[x],[x],23%,127%,[z],[z]
28-Jun-2020,Sun,76%,90%,99%,79%,18%,18%,[x],[x],26%,180%,[z],[z]
29-Jun-2020,Mon,72%,88%,96%,77%,18%,18%,16%,34%,24%,93%,[z],[z]
30-Jun-2020,Tue,73%,88%,96%,77%,18%,18%,15%,33%,26%,125%,[z],[z]
01-Jul-2020,Wed,73%,88%,97%,78%,19%,19%,16%,34%,24%,155%,[z],[z]
02-Jul-2020,Thu,73%,86%,96%,77%,19%,19%,15%,33%,25%,155%,[z],[z]
03-Jul-2020,Fri,75%,87%,96%,79%,20%,19%,17%,35%,25%,114%,[z],[z]
04-Jul-2020,Sat,82%,95%,101%,84%,20%,20%,19%,39%,29%,178%,[z],[z]
05-Jul-2020,Sun,84%,98%,105%,87%,20%,20%,20%,40%,32%,176%,[z],[z]
06-Jul-2020,Mon,79%,93%,97%,83%,21%,20%,19%,38%,29%,138%,[z],[z]
07-Jul-2020,Tue,76%,91%,97%,80%,21%,21%,19%,37%,29%,109%,[z],[z]
08-Jul-2020,Wed,75%,89%,97%,79%,21%,20%,18%,37%,27%,100%,[z],[z]
09-Jul-2020,Thu,76%,89%,96%,80%,21%,21%,18%,37%,28%,112%,[z],[z]
10-Jul-2020,Fri,83%,93%,96%,86%,21%,21%,20%,40%,30%,133%,[z],[z]
11-Jul-2020,Sat,90%,101%,104%,93%,22%,22%,23%,46%,34%,232%,[z],[z]
12-Jul-2020,Sun,95%,108%,111%,99%,22%,22%,23%,46%,37%,253%,[z],[z]
13-Jul-2020,Mon,80%,94%,98%,84%,23%,22%,20%,42%,31%,110%,[z],[z]
14-Jul-2020,Tue,79%,93%,98%,83%,23%,23%,20%,41%,32%,125%,[z],[z]
15-Jul-2020,Wed,79%,93%,98%,83%,23%,23%,20%,41%,31%,127%,[z],[z]
16-Jul-2020,Thu,81%,92%,98%,85%,23%,23%,21%,42%,32%,164%,[z],[z]
17-Jul-2020,Fri,86%,94%,97%,89%,24%,24%,24%,45%,33%,134%,[z],[z]
18-Jul-2020,Sat,91%,103%,104%,94%,24%,24%,28%,50%,37%,186%,[z],[z]
19-Jul-2020,Sun,95%,108%,111%,98%,24%,24%,23%,44%,41%,195%,[z],[z]
20-Jul-2020,Mon,85%,97%,99%,88%,25%,25%,22%,46%,33%,144%,[z],[z]
21-Jul-2020,Tue,83%,95%,98%,87%,25%,25%,22%,45%,34%,133%,[z],[z]
22-Jul-2020,Wed,82%,94%,98%,85%,26%,26%,23%,47%,32%,151%,[z],[z]
23-Jul-2020,Thu,81%,91%,95%,84%,27%,26%,25%,49%,33%,137%,[z],[z]
24-Jul-2020,Fri,88%,96%,97%,90%,26%,26%,26%,49%,35%,130%,[z],[z]
25-Jul-2020,Sat,90%,102%,105%,92%,26%,26%,28%,52%,38%,116%,[z],[z]
26-Jul-2020,Sun,96%,111%,112%,100%,27%,26%,28%,51%,44%,207%,[z],[z]
27-Jul-2020,Mon,80%,93%,96%,83%,27%,26%,24%,46%,31%,66%,[z],[z]
28-Jul-2020,Tue,82%,95%,97%,86%,27%,27%,25%,51%,37%,114%,[z],[z]
29-Jul-2020,Wed,84%,94%,96%,87%,28%,28%,25%,49%,35%,159%,[z],[z]
30-Jul-2020,Thu,86%,94%,96%,88%,29%,29%,25%,50%,36%,175%,[z],[z]
31-Jul-2020,Fri,92%,97%,95%,93%,30%,30%,27%,50%,37%,124%,[z],[z]
01-Aug-2020,Sat,97%,107%,106%,99%,32%,31%,31%,55%,42%,189%,[z],[z]
02-Aug-2020,Sun,99%,114%,114%,103%,32%,32%,28%,56%,47%,188%,[z],[z]
03-Aug-2020,Mon,88%,98%,97%,90%,32%,32%,26%,52%,37%,125%,[z],[z]
04-Aug-2020,Tue,83%,95%,98%,87%,33%,33%,26%,51%,37%,105%,[z],[z]
05-Aug-2020,Wed,84%,96%,98%,87%,31%,31%,27%,52%,37%,120%,[z],[z]
06-Aug-2020,Thu,85%,93%,96%,88%,33%,33%,26%,50%,37%,157%,[z],[z]
07-Aug-2020,Fri,89%,96%,96%,91%,33%,33%,27%,51%,37%,126%,[z],[z]
08-Aug-2020,Sat,98%,108%,108%,101%,33%,33%,31%,55%,45%,202%,[z],[z]
09-Aug-2020,Sun,101%,115%,116%,105%,33%,33%,30%,52%,49%,189%,[z],[z]
10-Aug-2020,Mon,90%,100%,100%,93%,33%,33%,28%,54%,39%,122%,[z],[z]
11-Aug-2020,Tue,86%,97%,99%,89%,34%,33%,27%,50%,40%,119%,[z],[z]
12-Aug-2020,Wed,86%,97%,99%,89%,34%,34%,27%,54%,37%,129%,[z],[z]
13-Aug-2020,Thu,85%,94%,98%,88%,32%,32%,26%,49%,37%,125%,[z],[z]
14-Aug-2020,Fri,89%,97%,98%,92%,32%,32%,29%,54%,39%,96%,[z],[z]
15-Aug-2020,Sat,96%,107%,107%,98%,32%,32%,32%,55%,46%,135%,[z],[z]
16-Aug-2020,Sun,95%,110%,115%,98%,32%,32%,31%,55%,48%,132%,[z],[z]
17-Aug-2020,Mon,88%,100%,100%,91%,32%,32%,29%,54%,41%,103%,[z],[z]
18-Aug-2020,Tue,86%,98%,99%,89%,32%,32%,30%,55%,43%,108%,[z],[z]
19-Aug-2020,Wed,84%,95%,97%,87%,32%,32%,29%,52%,39%,82%,[z],[z]
20-Aug-2020,Thu,89%,98%,98%,92%,34%,33%,30%,56%,43%,184%,[z],[z]
21-Aug-2020,Fri,89%,96%,95%,91%,33%,33%,32%,55%,39%,62%,[z],[z]
22-Aug-2020,Sat,97%,109%,108%,99%,33%,33%,35%,60%,48%,143%,[z],[z]
23-Aug-2020,Sun,99%,115%,116%,103%,33%,33%,34%,59%,51%,167%,[z],[z]
24-Aug-2020,Mon,92%,102%,99%,94%,33%,33%,32%,58%,45%,114%,[z],[z]
25-Aug-2020,Tue,82%,93%,95%,85%,33%,33%,34%,57%,38%,44%,[z],[note 10]
26-Aug-2020,Wed,90%,100%,99%,93%,36%,36%,35%,59%,44%,121%,[z],[z]
27-Aug-2020,Thu,87%,96%,98%,89%,35%,35%,31%,54%,41%,94%,[z],[z]
28-Aug-2020,Fri,92%,98%,97%,93%,37%,36%,34%,56%,43%,66%,[z],[z]
29-Aug-2020,Sat,98%,109%,107%,101%,37%,37%,41%,62%,53%,133%,[z],[z]
30-Aug-2020,Sun,102%,116%,107%,105%,37%,37%,39%,60%,59%,178%,[z],[z]
31-Aug-2020,Mon (BH),86%,74%,46%,82%,39%,38%,45%,70%,54%,132%,[z],[note 8]
01-Sep-2020,Tue,91%,101%,99%,94%,39%,39%,33%,55%,49%,115%,[z],[z]
02-Sep-2020,Wed,87%,98%,103%,90%,37%,37%,34%,52%,45%,107%,[z],[z]
03-Sep-2020,Thu,87%,97%,102%,90%,38%,38%,33%,54%,48%,126%,[z],[z]
04-Sep-2020,Fri,93%,101%,102%,95%,39%,39%,36%,57%,50%,106%,[z],[z]
05-Sep-2020,Sat,100%,113%,116%,103%,39%,39%,41%,62%,54%,175%,[z],[z]
06-Sep-2020,Sun,101%,117%,120%,104%,40%,39%,40%,60%,56%,177%,[z],[z]
07-Sep-2020,Mon,90%,103%,104%,94%,39%,38%,34%,59%,54%,99%,[z],[z]
08-Sep-2020,Tue,88%,101%,104%,92%,39%,39%,34%,59%,57%,111%,[z],[z]
09-Sep-2020,Wed,89%,102%,104%,93%,39%,39%,34%,59%,55%,142%,[z],[z]
10-Sep-2020,Thu,89%,100%,102%,92%,38%,38%,35%,59%,56%,143%,[z],[z]
11-Sep-2020,Fri,94%,103%,103%,96%,38%,38%,36%,60%,55%,99%,[z],[z]
12-Sep-2020,Sat,98%,112%,113%,101%,38%,38%,39%,60%,54%,168%,[z],[z]
13-Sep-2020,Sun,103%,121%,123%,107%,39%,38%,40%,60%,58%,195%,[z],[z]
14-Sep-2020,Mon,93%,105%,105%,97%,39%,38%,34%,59%,58%,122%,[z],[z]
15-Sep-2020,Tue,89%,102%,102%,93%,39%,39%,33%,58%,59%,117%,[z],[z]
16-Sep-2020,Wed,89%,102%,105%,93%,39%,39%,35%,58%,56%,133%,[z],[z]
17-Sep-2020,Thu,90%,100%,103%,93%,39%,39%,34%,59%,58%,154%,[z],[z]
18-Sep-2020,Fri,95%,103%,103%,97%,38%,38%,36%,60%,57%,119%,[z],[z]
19-Sep-2020,Sat,99%,114%,114%,102%,37%,37%,41%,59%,55%,167%,[z],[z]
20-Sep-2020,Sun,102%,121%,125%,106%,37%,37%,39%,62%,58%,182%,[z],[z]
21-Sep-2020,Mon,92%,105%,106%,96%,37%,37%,34%,59%,59%,125%,[z],[z]
22-Sep-2020,Tue,88%,102%,104%,92%,37%,37%,34%,60%,60%,122%,[z],[z]
23-Sep-2020,Wed,85%,100%,105%,89%,38%,38%,33%,57%,54%,81%,[z],[z]
24-Sep-2020,Thu,86%,100%,104%,90%,38%,38%,33%,57%,56%,116%,[z],[z]
25-Sep-2020,Fri,91%,102%,103%,94%,39%,39%,35%,59%,56%,87%,[z],[z]
26-Sep-2020,Sat,95%,110%,116%,98%,39%,38%,41%,58%,54%,123%,[z],[z]
27-Sep-2020,Sun,96%,114%,124%,100%,38%,38%,40%,58%,58%,137%,[z],[z]
28-Sep-2020,Mon,89%,104%,107%,93%,38%,38%,33%,58%,57%,114%,[z],[z]
29-Sep-2020,Tue,87%,101%,105%,91%,38%,38%,33%,59%,61%,104%,[z],[z]
30-Sep-2020,Wed,84%,100%,105%,88%,37%,37%,33%,58%,55%,86%,[z],[z]
01-Oct-2020,Thu,86%,98%,105%,89%,37%,37%,33%,58%,59%,129%,[z],[z]
02-Oct-2020,Fri,87%,99%,102%,90%,37%,36%,33%,55%,55%,60%,[z],[z]
03-Oct-2020,Sat,85%,100%,111%,87%,36%,36%,38%,55%,47%,60%,[z],[z]
04-Oct-2020,Sun,86%,102%,116%,89%,36%,36%,36%,53%,55%,70%,[z],[z]
05-Oct-2020,Mon,86%,103%,106%,91%,36%,36%,32%,60%,59%,95%,[z],[z]
06-Oct-2020,Tue,84%,100%,105%,88%,36%,35%,33%,59%,60%,84%,[z],[z]
07-Oct-2020,Wed,86%,101%,106%,90%,36%,35%,34%,60%,58%,127%,[z],[z]
08-Oct-2020,Thu,84%,98%,104%,88%,36%,35%,33%,58%,57%,109%,[z],[z]
09-Oct-2020,Fri,88%,100%,104%,91%,36%,35%,35%,61%,57%,95%,[z],[z]
10-Oct-2020,Sat,91%,107%,114%,94%,36%,36%,42%,62%,53%,126%,[z],[z]
11-Oct-2020,Sun,94%,113%,122%,98%,36%,36%,40%,62%,58%,166%,[z],[z]
12-Oct-2020,Mon,85%,102%,106%,89%,36%,35%,33%,60%,56%,79%,[z],[z]
13-Oct-2020,Tue,83%,100%,105%,88%,36%,35%,33%,58%,58%,117%,[z],[z]
